Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
6.181,0.8265,0,1,-0.0123
6.201,0.8265,0,1,-0.0123
6.221,0.8265,0,1,-0.01215
6.24,0.8265,0,1,-0.01215
6.261,0.8265,0,1,-0.01215
6.281,0.8265,0,1,-0.0123
6.301,0.8265,0,1,-0.01215
6.322,0.8265,0,1,-0.01215
6.341,0.8265,0,1,-0.01215
6.36,0.8265,0,1,-0.0123
6.38,0.8265,0,1,-0.01215
6.401,0.8265,0,1,-0.01215
6.421,0.8265,0,1,-0.01215
6.44,0.827,0,1,-0.01215
6.461,0.8265,0,1,-0.01215
6.481,0.8265,0,1,-0.01215
6.5,0.8265,0,1,-0.01215
6.521,0.8265,0,1,-0.01215
6.541,0.8265,0,1,-0.01215
6.56,0.8265,0,1,-0.01215
6.58,0.8265,0,1,-0.01215
6.601,0.8265,0,1,-0.01215
6.62,0.8265,0,1,-0.01215
6.64,0.8265,0,1,-0.01215
6.661,0.8265,0,1,-0.01215
6.681,0.8265,0,1,-0.01215
6.701,0.8265,0,1,-0.01215
6.721,0.827,0,1,-0.01215
6.741,0.8265,0,1,-0.01215
6.761,0.8265,0,1,-0.01215
6.781,0.8265,0,1,-0.01215
6.8,0.8265,0,1,-0.01215
6.82,0.8265,0,1,-0.01215
6.841,0.8265,0,1,-0.01215
6.861,0.8265,0,1,-0.01215
6.881,0.826,0,1,-0.01215
6.9,0.8265,0,1,-0.01215
6.921,0.8265,0,1,-0.01215
6.941,0.8265,0,1,-0.01215
6.961,0.8265,0,1,-0.01215
6.981,0.826,0,1,-0.01215
7.001,0.826,0,1,-0.01215
7.021,0.826,0,1,-0.01215
7.041,0.8265,0,1,-0.01215
7.061,0.8265,0,1,-0.01215
7.08,0.826,0,1,-0.01215
7.1,0.8265,0,1,-0.01215
7.121,0.826,0,1,-0.01215
7.14,0.8265,0,1,-0.01215
7.16,0.8265,0,1,-0.01215
7.181,0.8265,0,1,-0.01215
7.201,0.8265,0,1,-0.01215
7.221,0.8265,0,1,-0.01215
7.24,0.8265,0,1,-0.012
7.261,0.8265,0,1,-0.01215
7.281,0.8265,0,1,-0.012
7.301,0.8265,0,1,-0.01215
7.321,0.8265,0,1,-0.012
7.341,0.8265,0,1,-0.012
7.362,0.8265,0,1,-0.012
7.381,0.8265,0,1,-0.012
7.401,0.826,0,1,-0.01215
7.421,0.8265,0,1,-0.012
7.44,0.826,0,1,-0.012
7.46,0.8265,0,1,-0.012
7.481,0.8265,0,1,-0.012
7.501,0.8265,0,1,-0.012
7.521,0.8265,0,1,-0.012
7.541,0.8265,0,1,-0.012
7.561,0.8265,0,1,-0.012
7.58,0.8265,0,1,-0.012
7.601,0.826,0,1,-0.012
7.621,0.8265,0,1,-0.012
7.641,0.8265,0,1,-0.012
7.661,0.826,0,1,-0.012
7.681,0.8265,0,1,-0.012
7.701,0.8265,0,1,-0.012
7.72,0.8265,0,1,-0.012
7.741,0.8265,0,1,-0.012
7.761,0.8265,0,1,-0.012
7.781,0.8265,0,1,-0.012
7.801,0.8265,0,1,-0.012
7.821,0.8265,0,1,-0.012
7.84,0.8265,0,1,-0.012
7.861,0.8265,0,1,-0.012
7.88,0.826,0,1,-0.012
7.9,0.8265,0,1,-0.012
7.92,0.826,0,1,-0.012
7.941,0.826,0,1,-0.012
7.961,0.826,0,1,-0.012
7.981,0.826,0,1,-0.012
8.001,0.826,0,1,-0.012
8.021,0.8265,0,1,-0.012
8.042,0.8265,0,1,-0.012
8.061,0.826,0,1,-0.012
8.081,0.826,0,1,-0.012
8.101,0.826,0,1,-0.012
8.12,0.826,0,1,-0.012
8.141,0.826,0,1,-0.012
8.161,0.826,0,1,-0.012
8.181,0.8265,0,1,-0.012
8.201,0.8265,0,1,-0.012
8.221,0.8265,0,1,-0.012
8.241,0.8265,0,1,-0.012
8.26,0.8265,0,1,-0.012
8.281,0.8265,0,1,-0.01185
8.301,0.8265,0,1,-0.012
8.321,0.8265,0,1,-0.01185
8.341,0.8265,0,1,-0.012
8.361,0.8265,0,1,-0.012
8.381,0.8265,0,1,-0.01185
8.4,0.8265,0,1,-0.01185
8.42,0.8265,0,1,-0.01185
8.441,0.8265,0,1,-0.01185
8.461,0.8265,0,1,-0.01185
8.481,0.8265,0,1,-0.01185
8.501,0.8265,0,1,-0.01185
8.52,0.8265,0,1,-0.01185
8.541,0.8265,0,1,-0.01185
8.561,0.826,0,1,-0.01185
8.581,0.826,0,1,-0.01185
8.602,0.826,0,1,-0.01185
8.62,0.8265,0,1,-0.01185
8.64,0.8265,0,1,-0.01185
8.66,0.8265,0,1,-0.01185
8.681,0.826,0,1,-0.01185
8.701,0.826,0,1,-0.01185
8.721,0.8265,0,1,-0.01185
8.741,0.8265,0,1,-0.01185
8.761,0.8265,0,1,-0.01185
8.781,0.8265,0,1,-0.01185
8.8,0.8265,0,1,-0.01185
8.821,0.8265,0,1,-0.01185
8.841,0.8265,0,1,-0.01185
8.861,0.826,0,1,-0.01185
8.881,0.826,0,1,-0.01185
8.901,0.826,0,1,-0.01185
8.921,0.826,0,1,-0.01185
8.94,0.826,0,1,-0.01185
8.961,0.826,0,1,-0.01185
8.981,0.826,0,1,-0.01185
9.001,0.826,0,1,-0.01185
9.021,0.8265,0,1,-0.01185
9.041,0.8265,0,1,-0.01185
9.06,0.826,0,1,-0.01185
9.081,0.826,0,1,-0.01185
9.101,0.8265,0,1,-0.01185
9.12,0.8265,0,1,-0.01185
9.14,0.826,0,1,-0.01185
9.161,0.826,0,1,-0.01185
9.181,0.826,0,1,-0.01185
9.2,0.826,0,1,-0.01185
9.221,0.826,0,1,-0.01185
9.241,0.8265,0,1,-0.0117
9.26,0.826,0,1,-0.01185
9.281,0.826,0,1,-0.01185
9.301,0.826,0,1,-0.01185
9.321,0.826,0,1,-0.01185
9.34,0.826,0,1,-0.01185
9.361,0.826,0,1,-0.0117
9.381,0.826,0,1,-0.0117
9.401,0.826,0,1,-0.0117
9.421,0.826,0,1,-0.0117
9.441,0.826,0,1,-0.0117
9.461,0.826,0,1,-0.0117
9.481,0.826,0,1,-0.0117
9.501,0.826,0,1,-0.0117
9.521,0.826,0,1,-0.0117
9.541,0.826,0,1,-0.0117
9.562,0.826,0,1,-0.0117
9.58,0.826,0,1,-0.0117
9.6,0.826,0,1,-0.0117
9.621,0.826,0,1,-0.0117
9.641,0.826,0,1,-0.0117
9.661,0.826,0,1,-0.0117
9.681,0.826,0,1,-0.0117
9.701,0.826,0,1,-0.0117
9.721,0.826,0,1,-0.0117
9.74,0.826,0,1,-0.0117
9.761,0.826,0,1,-0.0117
9.781,0.8255,0,1,-0.0117
9.801,0.826,0,1,-0.0117
9.821,0.826,0,1,-0.0117
9.841,0.826,0,1,-0.0117
9.86,0.826,0,1,-0.0117
9.881,0.826,0,1,-0.0117
9.9,0.826,0,1,-0.0117
9.92,0.826,0,1,-0.0117
9.941,0.826,0,1,-0.0117
9.961,0.826,0,1,-0.0117
9.981,0.826,0,1,-0.0117
10.001,0.826,0,1,-0.0117
10.021,0.826,0,1,-0.0117
10.039,0.826,0,1,-0.0117
10.061,0.826,0,1,-0.0117
10.08,0.826,0,1,-0.0117
10.101,0.826,0,1,-0.0117
10.121,0.8255,0,1,-0.0117
10.139,0.8255,0,1,-0.0117
10.161,0.8255,0,1,-0.0117
10.18,0.8255,0,1,-0.0117
10.201,0.8255,0,1,-0.0117
10.221,0.8255,0,1,-0.0117
10.241,0.8255,0,1,-0.0117
10.261,0.8255,0,1,-0.0117
10.28,0.8255,0,1,-0.0117
10.3,0.826,0,1,-0.0117
10.321,0.826,0,1,-0.01155
10.341,0.826,0,1,-0.01155
10.361,0.8255,0,1,-0.01155
10.381,0.8255,0,1,-0.0117
10.401,0.8255,0,1,-0.01155
10.421,0.826,0,1,-0.01155
10.44,0.826,0,1,-0.01155
10.461,0.8255,0,1,-0.01155
10.479,0.8255,0,1,-0.01155
10.501,0.8255,0,1,-0.01155
10.52,0.8255,0,1,-0.01155
10.54,0.826,0,1,-0.01155
10.561,0.8255,0,1,-0.01155
10.581,0.8255,0,1,-0.01155
10.6,0.8255,0,1,-0.01155
10.621,0.8255,0,1,-0.01155
10.641,0.8255,0,1,-0.01155
10.661,0.8255,0,1,-0.01155
10.681,0.8255,0,1,-0.01155
10.7,0.8255,0,1,-0.01155
10.721,0.8255,0,1,-0.01155
10.741,0.8255,0,1,-0.01155
10.761,0.8255,0,1,-0.01155
10.781,0.8255,0,1,-0.01155
10.801,0.8255,0,1,-0.01155
10.82,0.8255,0,1,-0.01155
10.841,0.8255,0,1,-0.01155
10.861,0.825,0,1,-0.01155
10.881,0.8255,0,1,-0.01155
10.901,0.8255,0,1,-0.01155
10.921,0.8255,0,1,-0.01155
10.941,0.8255,0,1,-0.01155
10.961,0.8255,0,1,-0.01155
10.981,0.8255,0,1,-0.01155
11.001,0.8255,0,1,-0.01155
11.021,0.8255,0,1,-0.01155
11.041,0.8255,0,1,-0.01155
11.061,0.8255,0,1,-0.01155
11.081,0.8255,0,1,-0.01155
11.101,0.8255,0,1,-0.01155
11.12,0.8255,0,1,-0.01155
11.141,0.8255,0,1,-0.01155
11.161,0.8255,0,1,-0.01155
11.181,0.8255,0,1,-0.01155
11.201,0.8255,0,1,-0.01155
11.221,0.8255,0,1,-0.01155
11.24,0.8255,0,1,-0.01155
11.261,0.8255,0,1,-0.01155
11.281,0.8255,0,1,-0.01155
11.301,0.8255,0,1,-0.01155
11.321,0.825,0,1,-0.01155
11.341,0.825,0,1,-0.01155
11.361,0.825,0,1,-0.01155
11.381,0.825,0,1,-0.0114
11.401,0.8255,0,1,-0.0114
11.42,0.8255,0,1,-0.0114
11.441,0.8255,0,1,-0.0114
11.461,0.8255,0,1,-0.0114
11.481,0.8255,0,1,-0.0114
11.5,0.8255,0,1,-0.0114
11.52,0.8255,0,1,-0.0114
11.541,0.8255,0,1,-0.0114
11.561,0.8255,0,1,-0.0114
11.581,0.8255,0,1,-0.0114
11.6,0.8255,0,1,-0.0114
11.62,0.8255,0,1,-0.0114
11.64,0.8255,0,1,-0.0114
11.661,0.8255,0,1,-0.0114
11.68,0.8255,0,1,-0.0114
11.701,0.8255,0,1,-0.0114
11.721,0.825,0,1,-0.0114
11.741,0.825,0,1,-0.0114
11.76,0.825,0,1,-0.0114
11.78,0.825,0,1,-0.0114
11.801,0.825,0,1,-0.0114
11.821,0.825,0,1,-0.0114
11.841,0.825,0,1,-0.0114
11.86,0.8255,0,1,-0.0114
11.881,0.825,0,1,-0.0114
11.9,0.825,0,1,-0.0114
11.92,0.825,0,1,-0.0114
11.941,0.825,0,1,-0.0114
11.96,0.825,0,1,-0.0114
11.981,0.825,0,1,-0.0114
12.001,0.825,0,1,-0.0114
12.021,0.825,0,1,-0.0114
12.04,0.825,0,1,-0.0114
12.062,0.825,0,1,-0.0114
12.081,0.8255,0,1,-0.0114
12.101,0.8255,0,1,-0.0114
12.121,0.8255,0,1,-0.0114
12.141,0.8255,0,1,-0.0114
12.161,0.8255,0,1,-0.0114
12.18,0.8255,0,1,-0.0114
12.2,0.8255,0,1,-0.0114
12.221,0.825,0,1,-0.0114
12.241,0.825,0,1,-0.0114
12.26,0.8255,0,1,-0.0114
12.281,0.8255,0,1,-0.0114
12.299,0.8255,0,1,-0.0114
12.321,0.825,0,1,-0.01125
12.341,0.825,0,1,-0.0114
12.361,0.825,0,1,-0.0114
12.381,0.825,0,1,-0.01125
12.401,0.825,0,1,-0.01125
12.421,0.825,0,1,-0.01125
12.44,0.825,0,1,-0.01125
12.461,0.825,0,1,-0.01125
12.481,0.825,0,1,-0.01125
12.501,0.825,0,1,-0.01125
12.521,0.825,0,1,-0.01125
12.541,0.825,0,1,-0.01125
12.561,0.825,0,1,-0.01125
12.58,0.825,0,1,-0.01125
12.6,0.825,0,1,-0.01125
12.621,0.825,0,1,-0.01125
12.641,0.825,0,1,-0.01125
12.661,0.825,0,1,-0.01125
12.682,0.8245,0,1,-0.01125
12.701,0.825,0,1,-0.01125
12.72,0.825,0,1,-0.01125
12.74,0.8245,0,1,-0.01125
12.761,0.825,0,1,-0.01125
12.78,0.825,0,1,-0.01125
12.801,0.825,0,1,-0.01125
12.821,0.825,0,1,-0.01125
12.84,0.825,0,1,-0.01125
12.859,0.825,0,1,-0.01125
12.88,0.825,0,1,-0.01125
12.9,0.825,0,1,-0.01125
12.921,0.825,0,1,-0.01125
12.941,0.825,0,1,-0.01125
12.961,0.825,0,1,-0.01125
12.98,0.825,0,1,-0.01125
13.001,0.8245,0,1,-0.01125
13.02,0.8245,0,1,-0.01125
13.041,0.8245,0,1,-0.01125
13.061,0.8245,0,1,-0.01125
13.081,0.8245,0,1,-0.01125
13.101,0.8245,0,1,-0.01125
13.12,0.8245,0,1,-0.01125
13.141,0.8245,0,1,-0.01125
13.161,0.8245,0,1,-0.01125
13.181,0.8245,0,1,-0.01125
13.201,0.8245,0,1,-0.01125
13.221,0.8245,0,1,-0.01125
13.24,0.8245,0,1,-0.01125
13.261,0.8245,0,1,-0.01125
13.281,0.8245,0,1,-0.01125
13.301,0.8245,0,1,-0.01125
13.321,0.8245,0,1,-0.01125
13.34,0.8245,0,1,-0.01125
13.36,0.8245,0,1,-0.01125
13.38,0.8245,0,1,-0.01125
13.4,0.8245,0,1,-0.01125
13.421,0.8245,0,1,-0.01125
13.44,0.8245,0,1,-0.01125
13.461,0.8245,0,1,-0.0111
13.481,0.8245,0,1,-0.0111
13.5,0.8245,0,1,-0.0111
13.519,0.8245,0,1,-0.0111
13.541,0.8245,0,1,-0.0111
13.561,0.8245,0,1,-0.0111
13.581,0.8245,0,1,-0.0111
13.6,0.8245,0,1,-0.0111
13.621,0.8245,0,1,-0.0111
13.641,0.824,0,1,-0.0111
13.661,0.8245,0,1,-0.0111
13.681,0.8245,0,1,-0.0111
13.701,0.8245,0,1,-0.0111
13.721,0.8245,0,1,-0.0111
13.741,0.8245,0,1,-0.0111
13.761,0.8245,0,1,-0.0111
13.781,0.824,0,1,-0.0111
13.801,0.8245,0,1,-0.0111
13.821,0.8245,0,1,-0.0111
13.841,0.8245,0,1,-0.0111
13.861,0.8245,0,1,-0.0111
13.881,0.8245,0,1,-0.0111
13.901,0.8245,0,1,-0.0111
13.92,0.8245,0,1,-0.0111
13.94,0.8245,0,1,-0.0111
13.961,0.8245,0,1,-0.0111
13.981,0.8245,0,1,-0.0111
14.001,0.8245,0,1,-0.0111
14.02,0.8245,0,1,-0.0111
14.04,0.8245,0,1,-0.0111
14.06,0.8245,0,1,-0.0111
14.08,0.8245,0,1,-0.0111
14.101,0.8245,0,1,-0.0111
14.121,0.8245,0,1,-0.0111
14.14,0.8245,0,1,-0.0111
14.16,0.8245,0,1,-0.0111
14.181,0.8245,0,1,-0.0111
14.2,0.8245,0,1,-0.0111
14.221,0.8245,0,1,-0.0111
14.24,0.8245,0,1,-0.0111
14.261,0.8245,0,1,-0.0111
14.281,0.8245,0,1,-0.0111
14.301,0.8245,0,1,-0.0111
14.321,0.8245,0,1,-0.0111
14.341,0.8245,0,1,-0.01095
14.36,0.8245,0,1,-0.0111
14.381,0.8245,0,1,-0.0111
14.401,0.8245,0,1,-0.0111
14.42,0.8245,0,1,-0.0111
14.44,0.8245,0,1,-0.01095
14.461,0.8245,0,1,-0.0111
14.481,0.8245,0,1,-0.0111
14.501,0.8245,0,1,-0.01095
14.521,0.8245,0,1,-0.01095
14.541,0.8245,0,1,-0.01095
14.561,0.8245,0,1,-0.01095
14.581,0.8245,0,1,-0.01095
14.6,0.8245,0,1,-0.01095
14.62,0.8245,0,1,-0.01095
14.641,0.8245,0,1,-0.01095
14.661,0.8245,0,1,-0.01095
14.68,0.8245,0,1,-0.01095
14.701,0.8245,0,1,-0.01095
14.722,0.8245,0,1,-0.01095
14.741,0.8245,0,1,-0.01095
14.761,0.8245,0,1,-0.01095
14.781,0.8245,0,1,-0.01095
14.801,0.8245,0,1,-0.01095
14.821,0.825,0,1,-0.01095
14.841,0.825,0,1,-0.01095
14.861,0.825,0,1,-0.01095
